,MovieID,Genres,Rating,index
0,1,"Animation,Children's,Comedy",5,0
2077,2,"Adventure,Children's,Fantasy",5,1
2781,3,"Comedy,Romance",5,2
3269,4,"Comedy,Drama",5,3
3426,5,Comedy,5,4
3726,6,"Action,Crime,Thriller",5,5
4673,7,"Comedy,Romance",5,6
5121,8,"Adventure,Children's",5,7
5188,9,Action,5,8
5291,10,"Action,Adventure,Thriller",5,9
6183,11,"Comedy,Drama,Romance",5,10
7254,12,"Comedy,Horror",5,11
7401,13,"Animation,Children's",5,12
7471,14,Drama,5,13
7625,15,"Action,Adventure,Romance",5,14
7777,16,"Drama,Thriller",5,15
8457,17,"Drama,Romance",5,16
9303,18,Thriller,5,17
9444,19,Comedy,5,18
9997,21,"Action,Comedy,Drama",5,19
11358,22,"Crime,Drama,Thriller",5,20
11778,23,Thriller,5,21
11857,24,"Drama,Sci-Fi",5,22
12476,25,"Drama,Romance",5,23
13462,26,Drama,5,24
13558,27,Drama,5,25
13621,28,Romance,5,26
13796,29,"Adventure,Sci-Fi",5,27
14199,30,Drama,5,28
14281,31,Drama,5,29
14415,32,"Drama,Sci-Fi",5,30
15931,34,"Children's,Comedy,Drama",5,31
17681,35,"Drama,Romance",5,32
17755,36,Drama,5,33
18682,37,Documentary,5,34
18690,38,Comedy,5,35
18723,39,"Comedy,Romance",5,36
20076,40,Drama,5,37
20114,41,"Drama,War",5,38
20356,42,"Action,Crime,Drama",5,39
20569,43,Drama,5,40
20755,44,"Action,Adventure",5,41
21047,45,"Comedy,Drama",5,42
21591,46,"Drama,Romance",5,43
21757,47,"Crime,Thriller",5,44
22893,48,"Animation,Children's,Musical,Romance",5,45
23275,49,"Drama,Romance",5,46
23302,50,"Crime,Thriller",5,47
25093,52,Comedy,5,48
25517,53,Drama,5,49
25555,54,"Children's,Comedy",5,50
25575,55,Drama,5,51
25619,57,Drama,5,52
25718,58,"Drama,Romance",5,53
26221,59,"Drama,Mystery",5,54
26231,60,"Adventure,Children's,Fantasy",5,55
26602,61,"Drama,Thriller",5,56
26651,62,Drama,5,57
27196,63,Comedy,5,58
27486,65,Comedy,5,59
27636,68,"Comedy,Romance",5,60
27687,69,Comedy,5,61
28014,70,"Action,Comedy,Crime,Horror,Thriller",5,62
28986,71,Action,5,63
29020,72,"Comedy,Drama",5,64
29112,73,"Drama,Musical",5,65
29361,74,"Drama,Romance",5,66
29473,76,"Sci-Fi,Thriller",5,67
29642,77,Documentary,5,68
29694,78,Drama,5,69
29790,79,"Drama,Thriller",5,70
29841,80,Drama,5,71
29895,81,"Crime,Drama,Romance",5,72
30058,82,Drama,5,73
30150,83,Drama,5,74
30180,84,"Comedy,Drama",5,75
30212,85,"Drama,Romance",5,76
30399,86,"Adventure,Drama",5,77
30631,87,"Children's,Comedy",5,78
30724,88,Comedy,5,79
30921,89,"Action,Thriller",5,80
31132,90,Drama,5,81
31156,92,"Drama,Thriller",5,82
31231,93,"Comedy,Romance",5,83
31316,94,Drama,5,84
31545,95,"Action,Thriller",5,85
32133,96,Comedy,5,86
32147,97,Drama,5,87
32204,99,Documentary,5,88
32244,100,"Drama,Thriller",5,89
32372,101,Comedy,5,90
32691,103,Thriller,5,91
32720,104,Comedy,5,92
33405,105,"Drama,Romance",5,93
33789,106,"Comedy,Drama",5,94
33808,107,"Adventure,Children's,Comedy,Musical",5,95
34058,108,Documentary,5,96
34062,110,"Action,Drama,War",5,97
36505,111,"Drama,Thriller",5,98
37750,112,"Action,Adventure,Crime",5,99
38336,113,"Drama,Mystery",5,100
38373,114,Drama,5,101
38381,116,Documentary,5,102
38436,117,Crime,5,103
38499,118,"Comedy,Romance",5,104
38567,119,Comedy,5,105
38586,121,Drama,5,106
38626,122,"Comedy,Romance",5,107
38815,123,"Drama,Mystery,Romance",5,108
38930,124,Drama,5,109
38953,125,Comedy,5,110
39336,126,"Adventure,Children's,Fantasy",5,111
39361,128,Documentary,5,112
39387,130,Drama,5,113
39397,131,"Drama,Romance",5,114
39449,132,Thriller,5,115
39510,135,Comedy,5,116
39636,136,Documentary,5,117
39650,137,Documentary,5,118
39657,140,"Drama,Romance",5,119
39802,141,Comedy,5,120
40496,144,Comedy,5,121
40912,145,Action,5,122
41275,146,"Adventure,Children's",5,123
41301,147,Drama,5,124
41471,148,Drama,5,125
41504,149,"Crime,Drama,Thriller",5,126
41541,150,Drama,5,127
42795,151,"Drama,Romance,War",5,128
43357,152,Horror,5,129
43444,153,"Action,Adventure,Comedy,Crime",5,130
44194,154,Drama,5,131
44366,155,"Drama,War",5,132
44451,156,Comedy,5,133
44514,157,"Comedy,War",5,134
44708,158,"Adventure,Children's",5,135
44959,159,Drama,5,136
45095,160,"Action,Adventure,Mystery,Sci-Fi",5,137
45650,161,"Drama,Thriller,War",5,138
46402,162,Documentary,5,139
46892,163,"Action,Romance,Thriller",5,140
47433,164,"Crime,Film-Noir,Mystery,Thriller",5,141
47812,165,"Action,Thriller",5,142
48646,166,"Comedy,Drama",5,143
48696,167,Drama,5,144
48737,168,"Action,Adventure,Drama,Romance",5,145
49118,169,"Adventure,Children's,Drama",5,146
49184,170,"Action,Crime,Thriller",5,147
49506,171,Comedy,5,148
49611,172,"Action,Sci-Fi,Thriller",5,149
50113,173,"Action,Adventure,Sci-Fi",5,150
50670,174,Comedy,5,151
50696,175,Drama,5,152
50914,176,Comedy,5,153
51128,177,Horror,5,154
51273,178,Comedy,5,155
51317,179,"Drama,Romance",5,156
51331,180,Comedy,5,157
51873,182,"Drama,Romance",5,158
51921,183,Thriller,5,159
51946,184,Drama,5,160
52078,185,"Sci-Fi,Thriller",5,161
52591,186,Comedy,5,162
52759,187,Comedy,5,163
52857,188,Horror,5,164
53048,189,Comedy,5,165
53062,190,Thriller,5,166
53170,191,Drama,5,167
53244,193,Drama,5,168
53464,194,Drama,5,169
53709,195,"Comedy,Drama,Romance",5,170
53850,196,"Horror,Sci-Fi",5,171
54392,197,Drama,5,172
54404,198,"Action,Crime,Sci-Fi",5,173
55005,199,"Drama,Musical",5,174
55196,202,"Drama,Romance",5,175
55250,203,Comedy,5,176
55436,204,Action,5,177
55606,205,"Comedy,Drama",5,178
55688,206,Documentary,5,179
55770,207,"Drama,Romance",5,180
56015,208,"Action,Adventure",5,181
56673,209,Drama,5,182
56698,210,Western,5,183
56746,211,Drama,5,184
56781,213,Drama,5,185
56904,214,Drama,5,186
56935,215,"Drama,Romance",5,187
57096,216,Comedy,5,188
57472,217,"Drama,Thriller",5,189
57512,218,"Comedy,Drama",5,190
57712,219,Drama,5,191
57758,222,"Drama,Romance",5,192
58088,223,Comedy,5,193
59505,224,"Comedy,Drama,Romance",5,194
59907,225,"Drama,Thriller",5,195
60147,227,Action,5,196
60281,229,"Drama,Thriller",5,197
60391,230,"Drama,Thriller",5,198
60755,231,Comedy,5,199
61398,232,"Comedy,Drama",5,200
61743,233,Drama,5,201
62051,234,Comedy,5,202
62126,235,"Comedy,Drama",5,203
63057,236,"Comedy,Romance",5,204
63384,237,"Comedy,Romance",5,205
63641,238,"Adventure,Children's",5,206
63669,239,"Animation,Children's,Comedy,Romance",5,207
63853,240,Thriller,5,208
63889,241,"Children's,Drama",5,209
63912,242,"Drama,Musical",5,210
64015,245,"Crime,Drama",5,211
64021,246,Documentary,5,212
64736,247,"Drama,Fantasy,Romance,Thriller",5,213
65213,248,Comedy,5,214
65353,249,"Drama,Romance",5,215
65626,250,"Children's,Comedy",5,216
65649,251,Action,5,217
65661,252,"Comedy,Romance",5,218
66027,253,"Drama,Horror",5,219
66785,254,Drama,5,220
66815,255,Comedy,5,221
66899,256,"Comedy,Sci-Fi",5,222
67095,257,"Mystery,Thriller",5,223
67209,258,"Adventure,Children's,Comedy,Fantasy,Romance",5,224
67353,259,"Crime,Drama,Thriller",5,225
67448,260,"Action,Adventure,Fantasy,Sci-Fi",5,226
70438,261,Drama,5,227
70723,262,"Children's,Drama",5,228
70898,263,Drama,5,229
70940,265,"Drama,Romance",5,230
71715,266,"Drama,Romance,War,Western",5,231
72407,267,Comedy,5,232
72558,268,Drama,5,233
72602,269,Drama,5,234
72672,270,"Drama,Romance",5,235
72748,271,Drama,5,236
72798,272,Drama,5,237
73179,273,"Drama,Horror",5,238
73452,275,Comedy,5,239
73576,276,"Comedy,Romance",5,240
73765,277,Drama,5,241
73935,278,Comedy,5,242
73965,279,Drama,5,243
74012,280,"Drama,Thriller",5,244
74223,281,Drama,5,245
74457,282,Drama,5,246
74709,287,"Comedy,Romance",5,247
74712,288,"Action,Thriller",5,248
75411,289,"Comedy,Romance",5,249
75569,290,"Crime,Drama",5,250
75738,291,Thriller,5,251
75794,292,"Action,Drama,Thriller",5,252
76518,293,"Crime,Drama,Romance,Thriller",5,253
77468,294,"Comedy,Romance",5,254
77514,296,"Crime,Drama",5,255
79684,297,Drama,5,256
79715,298,Comedy,5,257
79740,299,Drama,5,258
79879,300,Drama,5,259
80603,301,"Drama,Romance",5,260
80625,302,"Drama,Romance",5,261
80740,303,"Action,Adventure,Western",5,262
81129,304,"Comedy,Drama",5,263
81170,305,Comedy,5,264
81293,306,Drama,5,265
81625,307,Drama,5,266
81869,308,Drama,5,267
82073,309,Drama,5,268
82165,312,Comedy,5,269
82248,313,"Animation,Children's",5,270
82297,314,Drama,5,271
82632,315,Action,5,272
82744,316,"Action,Adventure,Sci-Fi",5,273
83898,317,"Children's,Comedy,Fantasy",5,274
84501,318,Drama,5,275
86731,319,Thriller,5,276
87009,320,"Film-Noir,Thriller",5,277
87034,321,Drama,5,278
87094,322,"Comedy,Drama",5,279
87305,324,Comedy,5,280
87336,325,Comedy,5,281
87385,326,Drama,5,282
87478,327,"Action,Comedy,Musical,Sci-Fi",5,283
87812,328,Horror,5,284
87948,329,"Action,Adventure,Sci-Fi",5,285
88965,330,"Comedy,Horror",5,286
89089,331,Drama,5,287
89161,332,"Horror,Sci-Fi",5,288
89282,333,Comedy,5,289
89684,334,Drama,5,290
89794,335,"Mystery,Thriller",5,291
89852,336,"Drama,War",5,292
89853,337,Drama,5,293
90551,338,"Sci-Fi,Thriller",5,294
90767,339,"Comedy,Romance",5,295
91443,340,"Adventure,Drama",5,296
91524,341,Drama,5,297
91558,342,"Comedy,Romance",5,298
92077,343,Children's,5,299
92122,344,Comedy,5,300
92883,345,"Comedy,Drama",5,301
93359,346,"Drama,Musical",5,302
93471,347,Drama,5,303
93521,348,Comedy,5,304
93972,349,"Action,Adventure,Thriller",5,305
95032,350,"Drama,Mystery,Thriller",5,306
95553,351,"Comedy,Drama,Romance",5,307
95803,352,Comedy,5,308
95922,353,"Action,Romance,Thriller",5,309
96676,354,Drama,5,310
96741,355,"Children's,Comedy",5,311
96989,356,"Comedy,Romance,War",5,312
99184,357,"Comedy,Romance",5,313
100425,358,Drama,5,314
100562,359,"Comedy,Drama,Romance",5,315
100579,360,"Action,Comedy",5,316
100713,361,"Drama,Romance",5,317
100993,362,"Adventure,Children's,Romance",5,318
101210,363,Documentary,5,319
101275,364,"Animation,Children's,Musical",5,320
102401,365,Drama,5,321
102464,366,Horror,5,322
102725,367,"Comedy,Crime,Fantasy",5,323
103916,368,"Action,Comedy,Western",5,324
104703,369,Drama,5,325
104758,370,Comedy,5,326
105181,371,"Comedy,Drama",5,327
105387,372,"Comedy,Drama",5,328
105810,373,Thriller,5,329
106138,374,"Children's,Comedy",5,330
106255,375,Drama,5,331
106273,376,"Action,Thriller",5,332
106622,377,"Action,Romance,Thriller",5,333
108266,378,"Comedy,Romance",5,334
108411,379,"Action,Sci-Fi",5,335
108840,380,"Action,Adventure,Comedy,Romance",5,336
110248,381,Drama,5,337
110461,382,"Drama,Horror",5,338
110742,383,Western,5,339
111003,384,Action,5,340
111033,385,Drama,5,341
111077,387,"Action,Comedy",5,342
111180,388,Drama,5,343
111274,389,"Drama,Romance,War",5,344
111294,390,"Action,Comedy,Drama",5,345
111366,391,"Crime,Drama",5,346
111393,392,"Adventure,Children's",5,347
111417,393,Action,5,348
111521,394,Action,5,349
111558,404,Documentary,5,350
111577,405,"Action,Sci-Fi",5,351
111778,407,"Horror,Thriller",5,352
111978,408,Drama,5,353
112043,409,Drama,5,354
112103,410,Comedy,5,355
112554,411,Comedy,5,356
112563,412,Drama,5,357
112932,413,Comedy,5,358
113125,414,Comedy,5,359
113239,415,"Comedy,Thriller",5,360
113390,416,Western,5,361
113472,417,"Comedy,Romance",5,362
113673,418,Drama,5,363
113798,419,Comedy,5,364
113854,420,"Action,Comedy",5,365
114204,421,"Adventure,Children's",5,366
114308,422,Thriller,5,367
114365,423,"Action,Thriller",5,368
114613,424,Drama,5,369
114667,425,"Drama,Romance",5,370
114763,426,"Horror,Sci-Fi,Thriller",5,371
115097,427,"Mystery,Romance,Thriller",5,372
115192,428,Drama,5,373
115478,429,Comedy,5,374
115669,431,"Crime,Drama",5,375
116073,432,"Comedy,Western",5,376
116437,433,Comedy,5,377
116479,434,"Action,Adventure,Crime",5,378
117192,435,"Comedy,Sci-Fi",5,379
117725,436,"Drama,Thriller",5,380
118014,438,"Action,Comedy",5,381
118050,439,Drama,5,382
118056,440,"Comedy,Romance",5,383
119002,441,Comedy,5,384
119653,442,"Action,Sci-Fi",5,385
120300,443,Documentary,5,386
120363,444,"Comedy,Romance",5,387
120416,445,Comedy,5,388
120495,446,"Drama,Romance",5,389
120780,448,Drama,5,390
121008,449,Comedy,5,391
121096,450,"Comedy,Drama",5,392
121331,451,"Drama,Mystery,Romance",5,393
121446,452,Drama,5,394
121466,453,Comedy,5,395
121523,454,"Drama,Thriller",5,396
122349,455,"Adventure,Children's,Drama",5,397
122627,456,Drama,5,398
122721,457,"Action,Thriller",5,399
124718,458,"Drama,Western",5,400
124809,459,Action,5,401
124974,460,Comedy,5,402
124997,461,"Drama,Romance",5,403
125082,462,"Action,Adventure",5,404
125116,463,"Crime,Drama,Thriller",5,405
125155,464,"Action,Adventure,Crime,Thriller",5,406
125360,465,"Action,Drama,War",5,407
125473,466,"Action,Comedy,War",5,408
126055,467,Comedy,5,409
126096,468,"Comedy,Romance",5,410
126450,469,"Drama,Romance",5,411
126555,471,"Comedy,Romance",5,412
127190,472,"Comedy,Drama",5,413
127291,473,"Comedy,War",5,414
127343,474,"Action,Thriller",5,415
128318,475,Drama,5,416
128663,477,Drama,5,417
128926,479,Action,5,418
129014,480,"Action,Adventure,Sci-Fi",5,419
131686,481,"Drama,Thriller",5,420
131980,482,Thriller,5,421
132157,483,Drama,5,422
132264,485,"Action,Comedy",5,423
132772,486,Comedy,5,424
132830,487,"Comedy,Western",5,425
132885,488,Drama,5,426
132990,489,Comedy,5,427
133023,490,Thriller,5,428
133222,491,Drama,5,429
133421,492,"Comedy,Mystery",5,430
133764,493,"Action,Crime,Drama",5,431
134061,494,"Action,Thriller",5,432
134467,495,Drama,5,433
134516,496,"Comedy,Drama,Romance",5,434
134547,497,"Comedy,Romance",5,435
135260,499,"Comedy,Romance",5,436
135318,500,Comedy,5,437
136152,501,Drama,5,438
136403,503,Drama,5,439
136462,504,"Action,Sci-Fi",5,440
136597,505,Comedy,5,441
136658,506,Drama,5,442
136779,507,"Action,Drama",5,443
137086,508,Drama,5,444
137643,509,"Drama,Romance",5,445
138289,511,"Action,Drama",5,446
138460,512,"Horror,Sci-Fi",5,447
138626,513,"Comedy,Mystery,Romance",5,448
138708,514,Comedy,5,449
139033,515,Drama,5,450
139490,516,"Comedy,Drama,War",5,451
139735,517,"Action,Drama,Mystery",5,452
140167,518,Comedy,5,453
140433,519,"Sci-Fi,Thriller",5,454
140468,520,Comedy,5,455
140839,521,"Crime,Thriller",5,456
140977,522,"Action,Drama",5,457
141039,523,Drama,5,458
141155,524,Drama,5,459
141631,525,Drama,5,460
141660,527,"Drama,War",5,461
143981,528,Drama,5,462
144032,529,Drama,5,463
144756,531,"Children's,Drama",5,464
145095,532,"Comedy,Crime,Horror",5,465
145482,533,Action,5,466
145690,534,"Drama,Romance",5,467
145971,535,Drama,5,468
146278,536,Drama,5,469
146331,537,"Comedy,Drama",5,470
146535,538,Drama,5,471
146848,539,"Comedy,Romance",5,472
147859,540,Thriller,5,473
148003,541,"Film-Noir,Sci-Fi",5,474
149809,542,Comedy,5,475
150010,543,"Comedy,Romance,Thriller",5,476
150789,544,Action,5,477
150826,546,"Action,Adventure,Children's,Sci-Fi",5,478
151180,547,"Action,Adventure,Thriller",5,479
151423,548,Action,5,480
151433,549,Documentary,5,481
151594,550,"Comedy,Romance",5,482
151770,551,"Children's,Comedy,Musical",5,483
152768,552,"Action,Adventure,Comedy",5,484
153306,553,Western,5,485
153876,555,"Action,Crime,Romance",5,486
154530,556,Documentary,5,487
154661,557,Drama,5,488
154681,558,"Action,Adventure,Animation,Children's,Fantasy",5,489
154800,559,Comedy,5,490
154811,561,Thriller,5,491
154825,562,"Comedy,Drama",5,492
155310,563,Drama,5,493
155366,565,Horror,5,494
155435,566,"Comedy,Romance",5,495
155440,567,Drama,5,496
155455,568,"Comedy,Drama",5,497
155534,569,"Children's,Comedy",5,498
155588,570,"Comedy,Drama",5,499
155610,571,Drama,5,500
155645,572,Drama,5,501
155654,573,Drama,5,502
155671,574,"Comedy,Drama",5,503
155843,575,"Children's,Comedy",5,504
155985,577,"Adventure,Children's",5,505
156005,578,"Drama,Mystery",5,506
156010,580,Drama,5,507
156073,581,Documentary,5,508
156214,583,"Comedy,Drama",5,509
156248,585,Comedy,5,510
156669,586,"Children's,Comedy",5,511
157335,587,"Comedy,Romance,Thriller",5,512
158462,588,"Animation,Children's,Comedy,Musical",5,513
159811,589,"Action,Sci-Fi,Thriller",5,514
162459,590,"Adventure,Drama,Western",5,515
163922,592,"Action,Adventure,Crime,Drama",5,516
165343,593,"Drama,Thriller",5,517
167922,594,"Animation,Children's,Musical",5,518
168684,595,"Animation,Children's,Musical",5,519
169748,596,"Animation,Children's",5,520
170242,597,"Comedy,Romance",5,521
171288,598,Comedy,5,522
171299,599,Western,5,523
171580,600,Thriller,5,524
171591,602,Documentary,5,525
171638,603,Comedy,5,526
171692,605,"Drama,Romance",5,527
171965,606,Horror,5,528
172013,608,"Crime,Drama,Thriller",5,529
174593,610,"Action,Adventure,Animation,Horror,Sci-Fi",5,530
175215,611,"Action,Horror,Sci-Fi",5,531
175507,613,"Drama,Romance",5,532
175596,615,Drama,5,533
175662,616,"Animation,Children's",5,534
175940,617,Drama,5,535
175963,618,"Comedy,Romance",5,536
176008,621,Drama,5,537
176064,627,"Drama,Thriller",5,538
176187,628,"Drama,Thriller",5,539
176694,631,"Animation,Children's,Musical",5,540
176751,632,War,5,541
176774,633,Comedy,5,542
176793,635,"Comedy,Drama",5,543
176898,637,Comedy,5,544
177013,638,Romance,5,545
177086,639,Comedy,5,546
177125,640,"Drama,Thriller",5,547
177185,645,Drama,5,548
177218,647,"Drama,War",5,549
177653,648,"Action,Adventure,Mystery",5,550
179167,649,"Comedy,Drama",5,551
179182,650,Drama,5,552
179303,653,"Action,Adventure,Fantasy",5,553
179915,656,Comedy,5,554
179937,659,"Crime,Thriller",5,555
179966,661,"Animation,Children's,Musical",5,556
180518,662,Thriller,5,557
180633,663,Comedy,5,558
180895,665,War,5,559
180925,666,Drama,5,560
180953,667,Action,5,561
180974,668,Drama,5,562
181021,669,Drama,5,563
181043,670,Drama,5,564
181100,671,"Comedy,Sci-Fi",5,565
181559,673,"Adventure,Animation,Children's,Comedy,Fantasy",5,566
182122,674,"Adventure,Sci-Fi",5,567
182507,678,"Drama,Thriller",5,568
182815,680,Sci-Fi,5,569
182882,681,Crime,5,570
182895,682,"Documentary,Drama",5,571
182901,685,Drama,5,572
182930,687,"Drama,Romance",5,573
183075,688,"Action,Adventure,Comedy,War",5,574
183152,691,"Comedy,Romance",5,575
183357,692,"Action,Sci-Fi,Thriller",5,576
